WIGTOWN,_416,,54.911671,-4.522830,238300,560360,56.60,,2.70,-99,1501.70,20.15,0.00,Q,0.03,W,13.77,274 NEWC,,,0.00
WIGTOWN,_326,,54.926498,-4.317830,251490,561550,118.60,,2.70,-99,1475.97,12.29,0.00,Q,0.43,W,-0.71,274 NEWC,,,0.00
WIGTOWN,_593,,54.763329,-4.532000,237110,543880,41.70,,2.70,-99,1505.83,32.34,0.00,Q,0.01,W,27.63,274 NEWC,,,0.00
WIGTOWN,_310,,54.902000,-4.132670,263270,558450,274.60,,2.70,-99,1454.86,41.41,0.00,Q,0.80,W,11.12,274 NEWC,,,0.00
WIGTOWN,_488,,54.916672,-4.331170,250600,560490,118.10,,2.70,-99,1478.58,15.58,0.00,Q,0.23,W,2.44,274 NEWC,,,0.00
WIGTOWN,_199,,54.903671,-4.104170,265100,558590,139.50,,2.70,-99,1483.33,28.04,0.00,Q,0.56,W,12.81,274 NEWC,,,0.00
WIGTOWN,_501,,54.855839,-4.334170,250180,553730,44.10,,2.70,-99,1498.37,17.72,0.00,Q,1.04,W,13.77,274 NEWC,,,0.00
WIGTOWN,_263,,54.865170,-4.341330,249760,554780,151.20,,2.70,-99,1477.04,28.65,0.00,Q,1.32,W,12.85,274 NEWC,,,0.00
WIGTOWN,_659,,54.932671,-4.752000,223700,563250,110.60,,2.70,-99,1503.26,36.58,0.00,Q,0.07,W,24.13,274 NEWC,,,0.00
WIGTOWN,_495,,54.865501,-4.358670,248640,554860,19.20,,2.70,-99,1501.80,12.64,0.00,Q,0.66,W,11.13,265 NEWC,,,0.00
WIGTOWN,_193,,54.834839,-4.137000,262760,550990,66.20,,2.70,-99,1499.62,27.58,0.00,Q,0.05,W,20.14,274 NEWC,,,0.00
WIGTOWN,_249,,54.960339,-4.452500,242990,565610,21.90,,2.70,-99,1504.20,7.79,0.00,Q,0.37,W,5.68,274 NEWC,,,0.00
WIGTOWN,_570,,54.797329,-4.353330,248730,547260,49.30,,2.70,-99,1501.71,27.66,0.00,Q,0.32,W,22.40,274 NEWC,,,0.00
WIGTOWN,_478,,54.896332,-4.347830,249450,558270,184.00,,2.70,-99,1468.63,27.70,0.00,Q,0.92,W,7.79,274 NEWC,,,0.00
WIGTOWN,_324,,54.935001,-4.271830,254470,562400,152.00,,2.70,-99,1468.58,14.48,0.00,Q,0.28,W,-2.45,274 NEWC,,,0.00
WIGTOWN,_187,,54.838501,-4.104000,264890,551340,52.50,,2.70,-99,1501.78,25.20,0.00,Q,0.17,W,19.43,274 NEWC,,,0.00
WIGTOWN,_302,,54.959332,-4.118500,264370,564810,203.20,,2.70,-99,1466.74,26.36,0.00,Q,0.11,W,3.47,274 NEWC,,,0.00
WIGTOWN,_443,,54.842831,-4.463170,241850,552570,22.20,,2.70,-99,1505.96,19.66,0.00,Q,0.01,W,17.16,274 NEWC,,,0.00
WIGTOWN,_328,,54.918671,-4.348170,249520,560750,70.00,,2.70,-99,1486.93,8.91,0.00,Q,0.46,W,1.45,274 NEWC,,,0.00
WIGTOWN,_258,,54.872829,-4.302330,252290,555550,204.50,,2.70,-99,1467.05,34.45,0.00,Q,1.09,W,12.39,274 NEWC,,,0.00
WIGTOWN,_407,,54.947170,-4.527670,238130,564320,50.50,,2.70,-99,1504.70,18.24,0.00,Q,0.07,W,12.59,274 NEWC,,,0.00
WIGTOWN,_500,,54.862999,-4.318500,251210,554490,199.80,,2.70,-99,1468.32,35.11,0.00,Q,1.27,W,13.76,274 NEWC,,,0.00
WIGTOWN,_568,,54.811829,-4.379170,247130,548940,17.00,,2.70,-99,1508.25,22.99,0.00,Q,0.02,W,21.09,274 NEWC,,,0.00
WIGTOWN,_156,,54.946499,-4.411670,245550,563990,8.60,,2.70,-99,1499.71,0.37,0.00,Q,0.38,W,-0.22,274 NEWC,,,0.00
WIGTOWN,_651,,54.868671,-4.771670,222160,556180,55.70,,2.70,-99,1508.35,30.19,0.00,Q,0.04,W,23.92,274 NEWC,,,0.00
WIGTOWN,_275,,54.926331,-4.429830,244310,561780,10.60,,2.70,-99,1503.13,6.13,0.00,Q,0.04,W,4.97,274 NEWC,,,0.00
WIGTOWN,_118,,54.987499,-4.233170,257130,568160,220.40,,2.70,-99,1447.74,10.27,0.00,Q,0.64,W,-14.04,265 NEWC,,,0.00
WIGTOWN,_446,,54.875999,-4.444330,243190,556210,22.00,,2.70,-99,1504.03,14.84,0.00,Q,0.07,W,12.42,274 NEWC,,,0.00
WIGTOWN,_497,,54.869839,-4.348830,249290,555320,94.80,,2.70,-99,1488.27,22.07,0.00,Q,0.59,W,11.93,274 NEWC,,,0.00
WIGTOWN,_656,,54.794830,-4.654330,229380,547680,6.40,,2.70,-99,1509.89,22.81,0.00,Q,0.69,W,22.78,274 NEWC,,,0.00
WIGTOWN,_449,,54.913670,-4.461330,242250,560450,36.50,,2.70,-99,1500.76,12.83,0.00,Q,0.13,W,8.83,274 NEWC,,,0.00
WIGTOWN,_384,,54.997002,-4.530830,238130,569870,51.20,,2.70,-99,1509.84,19.35,0.00,Q,0.18,W,13.73,274 NEWC,,,0.00
WIGTOWN,_450,,54.940670,-4.599500,233500,563770,62.10,,2.70,-99,1507.99,25.66,0.00,Q,0.09,W,18.72,274 NEWC,,,0.00
WIGTOWN,_307,,54.981998,-4.040670,269420,567180,79.00,,2.70,-99,1496.45,15.81,0.00,Q,0.28,W,7.15,274 NEWC,,,0.00
WIGTOWN,_155,,54.952839,-4.410000,245680,564680,10.60,,2.70,-99,1499.95,0.69,0.00,Q,0.68,W,0.17,274 NEWC,,,0.00
WIGTOWN,_424,,54.834171,-4.593500,233450,551910,65.20,,2.70,-99,1500.10,27.81,0.00,Q,0.01,W,20.44,274 NEWC,,,0.00
WIGTOWN,_267,,54.984669,-4.443830,243640,568310,94.70,,2.70,-99,1491.90,15.88,0.00,Q,0.23,W,5.39,274 NEWC,,,0.00
WIGTOWN,_455,,54.987171,-4.621170,232310,568990,85.30,,2.70,-99,1507.17,28.04,0.00,Q,0.02,W,18.40,274 NEWC,,,0.00
WIGTOWN,_566,,54.902828,-4.415830,245120,559140,7.00,,2.70,-99,1498.95,2.84,0.00,Q,0.03,W,2.08,274 NEWC,,,0.00
WIGTOWN,_565,,54.911171,-4.419170,244940,560070,4.50,,2.70,-99,1499.39,1.80,0.00,Q,0.03,W,1.32,274 NEWC,,,0.00
